"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2013","1,762.97","1,765.67","1,767.03","1,755.76","","-0.28%"
"11/04/2013","1,767.93","1,763.40","1,768.78","1,761.56","","0.36%"
"11/01/2013","1,761.64","1,758.70","1,765.67","1,752.70","","0.29%"
"10/31/2013","1,756.54","1,763.24","1,768.53","1,755.72","","-0.38%"
"10/30/2013","1,763.31","1,772.27","1,775.22","1,757.24","","-0.49%"
"10/29/2013","1,771.95","1,762.93","1,772.09","1,762.93","","0.56%"
"10/28/2013","1,762.11","1,759.42","1,764.99","1,757.67","","0.13%"
"10/25/2013","1,759.77","1,756.01","1,759.82","1,752.45","","0.44%"
"10/24/2013","1,752.07","1,747.48","1,753.94","1,745.50","","0.33%"
"10/23/2013","1,746.38","1,752.27","1,752.27","1,740.50","","-0.47%"
"10/22/2013","1,754.67","1,746.48","1,759.33","1,746.48","","0.57%"
"10/21/2013","1,744.66","1,745.20","1,747.79","1,740.67","","0.01%"
"10/18/2013","1,744.50","1,736.72","1,745.31","1,735.74","","0.65%"
"10/17/2013","1,733.15","1,720.17","1,733.45","1,714.12","","0.67%"
"10/16/2013","1,721.54","1,700.49","1,721.76","1,700.49","","1.38%"
"10/15/2013","1,698.06","1,709.17","1,711.57","1,695.93","","-0.71%"
"10/14/2013","1,710.14","1,699.86","1,711.03","1,692.13","","0.41%"
"10/11/2013","1,703.20","1,691.09","1,703.44","1,688.52","","0.63%"
"10/10/2013","1,692.56","1,660.88","1,692.56","1,660.88","","2.18%"
"10/09/2013","1,656.40","1,656.99","1,662.47","1,646.47","","0.06%"
"10/08/2013","1,655.45","1,676.22","1,676.79","1,655.03","","-1.23%"
"10/07/2013","1,676.12","1,687.15","1,687.15","1,674.70","","-0.85%"
"10/04/2013","1,690.50","1,678.79","1,691.94","1,677.33","","0.71%"
"10/03/2013","1,678.66","1,692.35","1,692.35","1,670.36","","-0.90%"
"10/02/2013","1,693.87","1,691.90","1,693.87","1,680.34","","-0.07%"
"10/01/2013","1,695.00","1,682.41","1,696.55","1,682.07","","0.80%"
"09/30/2013","1,681.55","1,687.26","1,687.26","1,674.99","","-0.60%"
"09/27/2013","1,691.75","1,695.52","1,695.52","1,687.11","","-0.41%"
"09/26/2013","1,698.67","1,694.05","1,703.85","1,693.11","","0.35%"
"09/25/2013","1,692.77","1,698.02","1,701.71","1,691.88","","-0.27%"
"09/24/2013","1,697.42","1,702.60","1,707.63","1,694.90","","-0.26%"
"09/23/2013","1,701.84","1,711.44","1,711.44","1,697.10","","-0.47%"
"09/20/2013","1,709.91","1,722.44","1,725.23","1,708.89","","-0.72%"
"09/19/2013","1,722.34","1,727.34","1,729.86","1,720.20","","-0.18%"
"09/18/2013","1,725.52","1,705.74","1,729.44","1,700.35","","1.22%"
